Designator,Mid X,Mid Y,Rotation,Layer
C1,81.394,-115.57,0.0,top
C10,173.482,-69.215,180.0,top
C11,133.985,-69.469,90.0,top
C12,110.236,-70.46,0.0,top
C13,113.665,-70.46,180.0,top
C14,101.841,-70.46,0.0,top
C15,105.41,-70.46,180.0,top
C16,93.472,-70.46,0.0,top
C17,97.028,-70.46,180.0,top
C18,85.344,-70.46,0.0,top
C19,88.659,-70.46,180.0,top
C2,79.883,-101.219,180.0,top
C20,194.564,-59.944,180.0,top
C21,194.564,-61.468,180.0,top
C22,170.584,-60.211,90.0,top
C23,173.094,-60.211,90.0,top
C24,175.604,-60.211,90.0,top
C25,178.114,-60.211,90.0,top
C26,180.624,-60.211,90.0,top
C27,183.134,-60.211,90.0,top
C28,185.644,-60.211,90.0,top
C29,188.154,-60.211,90.0,top
C3,79.883,-99.568,180.0,top
C31,189.8116,-61.6712,0.0,top
C32,198.286,-69.469,0.0,top
C33,198.286,-64.262,180.0,top
C34,158.5468,-61.1124,0.0,top
C35,117.8332,-64.008,180.0,top
C36,91.0616,-77.8256,0.0,top
C37,91.7448,-119.1768,0.0,top
C38,92.6872,-130.8608,180.0,top
C39,185.7248,-130.048,0.0,top
C4,80.645,-103.378,180.0,top
C40,186.182,-88.9,0.0,top
C41,188.3384,-77.2668,0.0,top
C5,84.864,-99.723,180.0,top
C6,88.773,-102.362,180.0,top
C7,88.773,-104.013,180.0,top
C8,76.962,-101.346,0.0,top
C9,83.82,-133.096,180.0,top
D1,80.3656,-94.8944,90.0,top
D2,186.775,-79.655,90.0,top
D3,186.775,-113.385,90.0,top
D4,187.045,-132.63,0.0,top
D5,89.815,-132.8,180.0,top
D6,91.525,-113.31,90.0,top
D7,90.255,-80.365,90.0,top
D8,119.38,-60.579,0.0,top
D9,155.855,-60.579,0.0,top
J1,193.04,-96.52,90.0,top
J2,83.82,-126.163,180.0,top
L1,87.63,-94.996,180.0,top
P1,137.16,-54.61,180.0,top
R1,83.82,-118.618,0.0,top
R10,185.675999,-62.23,180.0,top
R11,163.83,-66.04,270.0,top
R12,161.29,-66.04,270.0,top
R13,153.67,-66.04,270.0,top
R14,151.13,-66.04,270.0,top
R15,156.21,-66.04,270.0,top
R16,158.75,-66.04,270.0,top
R2,83.312,-114.046,0.0,top
R3,83.82,-117.094,180.0,top
R4,138.43,-61.595,270.0,top
R5,135.382,-61.595,270.0,top
R6,182.5752,-71.5772,0.0,top
R7,198.437,-76.708,0.0,top
R8,198.437,-74.9808,0.0,top
R9,185.674,-63.246,0.0,top
SW1,168.402,-70.485,180.0,top
U1,84.57,-107.2575,0.0,top
U10,198.374,-66.86,90.0,top
U2,179.82,-67.327,90.0,top
U3,136.918,-69.942,180.0,top
U4,112.0,-64.77,270.0,top
U5,103.675,-64.77,270.0,top
U6,95.35,-64.77,270.0,top
U7,86.995,-64.745,270.0,top
U8,192.278,-77.851,0.0,top
U9,191.678,-66.4295,180.0,top
